date,status,label
2026-09-07,no_class,Labor Day
2026-09-10,makeup,Follows a Monday schedule
2026-10-12,no_class,Columbus Day / Fall Break
2026-10-16,makeup,Follows a Monday schedule
2026-11-23,break,Thanksgiving Break
2026-11-24,break,Thanksgiving Break
2026-11-25,break,Thanksgiving Break
2026-11-26,break,Thanksgiving Break
2026-11-27,break,Thanksgiving Break
2026-12-12,study,Study period
2026-12-13,study,Study period
2026-12-14,study,Study period
2026-12-15,study,Study period
2026-12-16,finals,Final exam period
2026-12-17,finals,Final exam period
2026-12-18,finals,Final exam period
2026-12-19,finals,Final exam period
2026-12-20,finals,Final exam period
2026-12-21,finals,Final exam period
2026-12-22,finals,Final exam period
