no,date,type,label,short,topic,reading,note
1,2026-08-27,lecture,Class 01,C01,Introduction and overview; units; fluid properties,1.1-1.10,First class of the term
2,2026-08-31,lecture,Class 02,C02,Pressure; manometry,2.2-2.3,
3,2026-09-03,lecture,Class 03,C03,Forces on plane surfaces,2.4,
4,2026-09-10,lecture,Class 04,C04,Forces on curved surfaces; buoyancy,2.5-2.6,Follows Monday schedule
5,2026-09-14,lecture,Class 05,C05,Classifications of flows; systems and control volume; fluid kinematics,"3.1, 3.2, 4.1",
6,2026-09-17,lecture,Class 06,C06,Reynolds transport theorem; conservation of mass,4.1-4.3,
7,2026-09-21,lecture,Class 07,C07,The Bernoulli equation (conservation of energy),3.3,
8,2026-09-24,review,Class 08,C08,Exam 1 review,course notes,No new exam content
9,2026-09-28,exam,Class 09,C09,Exam 1,-,Covers lectures 1-8
10,2026-10-01,lecture,Class 10,C10,Estimation of uncertainty and lab reports,course notes,Placed immediately after Exam 1
11,2026-10-05,lecture,Class 11,C11,Exam 1 solutions; flow measurement,3.4,Lab 1 runs this week
12,2026-10-08,lecture,Class 12,C12,Conservation of linear momentum,4.4,Lab 1 runs this week
13,2026-10-15,lecture,Class 13,C13,Dimensional analysis,6.1-6.5,
14,2026-10-16,lecture,Class 14,C14,Similitude,6.6,Follows Monday schedule
15,2026-10-19,lecture,Class 15,C15,Viscosity; laminar flow in pipes,"1.6, 7.1-7.3",Lab 2 runs this week
16,2026-10-22,lecture,Class 16,C16,Turbulent flow in pipes,7.4,Lab 2 runs this week
17,2026-10-26,lecture,Class 17,C17,Steady-flow energy equation and minor losses,"course notes, 7.5.6",
18,2026-10-29,lecture,Class 18,C18,Single-pipe flow problems,7.5.1-7.5.4,
19,2026-11-02,lecture,Class 19,C19,Multiple-pipe problems,course notes,
20,2026-11-05,lecture,Class 20,C20,Pump performance,"8.3.1-8.3.3, 8.3.5-8.3.6",
21,2026-11-09,lecture,Class 21,C21,Boundary layers and drag,"10.1, 10.2, 10.3.1, 10.3.5-10.3.7",Lab 3 runs this week
22,2026-11-12,lecture,Class 22,C22,Flow over circular cylinders and spheres,10.3.2,Movable after Thanksgiving if needed
23,2026-11-16,review,Class 23,C23,Exam 2 review,course notes,No new exam content
24,2026-11-19,exam,Class 24,C24,Exam 2,-,Covers lectures 9-21; before Thanksgiving
25,2026-11-30,lecture,Class 25,C25,Exam 2 solutions; hydraulic turbines and hydropower,8.5,
26,2026-12-03,lecture,Class 26,C26,Hydraulic turbines and hydropower,8.5,
27,2026-12-07,lecture,Class 27,C27,Course synthesis and problem-solving buffer,course notes,
28,2026-12-10,review,Class 28,C28,Final exam review,course notes,Last CIVL 2050 class meeting
